Age,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,RiskLevel
17,2,19.833722807854713,7,1,2,0,0,1,0,2.929195591667681,1
18,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,0
15,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,3
17,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,2
17,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,3
18,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,0
15,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,1
15,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,3
17,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,1
16,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0
17,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,2
17,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,3
17,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,3
17,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,3
18,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,2
15,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,3
18,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,2
18,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,3
18,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,3
17,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945306996,2
16,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,1
15,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,3
16,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,3
18,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,3
18,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,3
16,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743,1
16,1,10.367992532661304,2,0,2,0,1,0,0,2.948717671911921,1
16,3,2.2521845869844137,8,0,3,0,0,1,0,2.1452047204671914,2
18,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318,1
18,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139,3
15,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409,3
15,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387904,3
18,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877,3
16,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,3
16,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,3
